ID.,性別,学年,専攻,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20
10169,1,2,1,2,3,4,2,4,4,3,1,1,2,4,4,2,1,3,1,3,2,2,3
10173,2,1,1,3,2,2,4,2,2,4,2,3,2,2,3,3,3,3,2,3,1,3,1
10174,2,1,1,3,3,2,4,4,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2
10185,2,3,1,2,3,1,3,4,3,3,1,3,2,3,4,3,2,2,2,3,2,2,1
10186,1,3,1,3,2,4,3,3,4,3,3,2,1,4,2,3,2,3,2,2,3,2,1
10190,2,2,1,2,3,2,2,3,2,3,1,2,3,2,2,2,2,2,2,2,2,2,3
10191,2,2,1,1,4,2,4,2,4,4,1,2,3,2,4,2,3,4,3,4,1,2,1
10197,2,1,1,3,4,1,4,4,2,4,2,3,4,2,4,3,4,3,4,4,2,3,1
10199,2,1,1,4,4,2,4,3,2,4,3,3,3,2,4,2,3,4,3,4,2,2,1
10201,2,1,1,4,4,3,4,4,4,4,2,4,2,3,3,3,3,2,3,4,1,4,4
10202,2,1,1,3,4,1,3,4,2,3,1,2,4,2,4,2,3,2,3,2,1,1,2
10203,2,1,1,1,1,3,3,1,1,4,2,4,4,1,4,1,2,2,4,1,1,4,4
10204,2,1,1,3,2,2,3,3,2,4,4,4,2,2,4,2,3,3,4,3,2,3,3
10205,2,3,1,2,3,1,4,3,1,4,1,3,2,1,4,2,3,3,3,3,1,2,3
10206,2,1,1,2,3,3,4,4,4,4,3,3,3,4,4,4,4,4,3,4,3,3,1
10207,2,1,1,2,3,1,3,1,2,3,1,3,3,1,4,2,2,3,3,4,1,2,4
10208,1,1,1,2,4,3,3,2,1,4,1,3,3,3,4,1,2,3,2,3,1,4,3
10209,2,1,1,3,2,4,4,4,4,4,3,2,1,4,3,2,4,4,2,3,4,3,1
10210,2,1,1,3,4,2,4,3,1,4,1,3,3,3,3,3,4,2,3,3,1,3,1
10211,2,1,1,2,3,3,4,4,3,4,2,3,3,3,4,2,3,3,3,3,1,3,2
10212,2,3,1,4,4,2,4,4,3,4,2,2,3,2,4,4,4,4,2,3,3,2,2
10218,1,1,1,2,3,4,4,4,4,4,2,3,3,4,4,2,3,4,4,4,2,3,3
10222,2,1,1,3,4,1,4,4,1,4,1,1,3,1,4,3,3,2,3,3,1,2,1
10223,2,1,1,2,3,2,3,3,1,3,2,3,2,2,3,2,2,3,2,3,1,2,3
10224,2,1,1,3,4,1,4,4,1,4,2,4,4,1,4,3,4,2,4,4,1,4,1
10226,2,1,1,3,2,1,4,4,3,3,3,3,1,4,4,3,2,3,3,4,1,3,1
10233,2,1,1,3,4,1,4,3,1,4,1,4,2,1,4,2,2,3,2,4,1,3,2
10234,2,1,1,3,1,1,1,1,1,2,2,1,1,2,2,3,1,1,1,1,1,3,4
10235,2,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,1,1,1,1,3,4
10236,2,1,1,2,3,1,3,3,1,3,1,2,4,1,4,2,2,2,4,4,1,4,3
10239,2,1,1,2,2,1,3,1,1,4,2,3,2,2,3,2,1,2,2,4,2,4,4
10240,2,1,1,4,3,2,4,4,1,3,2,3,3,1,3,4,3,1,3,3,1,3,3
10245,1,1,1,2,4,2,4,4,4,2,4,2,3,3,4,3,4,3,3,2,3,1,1
10264,1,1,1,1,3,1,1,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,4
10275,2,1,1,3,3,1,3,3,2,4,3,2,3,3,4,3,4,2,3,3,2,2,1
10277,2,1,1,4,3,3,3,3,2,3,1,2,3,3,2,3,3,2,2,2,1,2,1
